symbol,pair,contractType,deliveryDate,onboardDate,contractStatus,contractSize,marginAsset,maintMarginPercent,requiredMarginPercent,baseAsset,quoteAsset,pricePrecision,quantityPrecision,baseAssetPrecision,quotePrecision,equalQtyPrecision,maxMoveOrderLimit,triggerProtect,underlyingType,underlyingSubType,filters,orderTypes,timeInForce,liquidationFee,marketTakeBound
EGLDUSD_PERP,EGLDUSD,PERPETUAL,4133404800000,1608534000000,TRADING,10,EGLD,2.5000,5.0000,EGLD,USD,3,0,8,8,4,10000,0.0500,COIN,['Layer-1'],"[{'minPrice': '1.840', 'maxPrice': '14473', 'filterType': 'PRICE_FILTER', 'tickSize': '0.001'}, {'stepSize': '1', 'filterType': 'LOT_SIZE', 'maxQty': '1000000', 'minQty': '1'}, {'stepSize': '1', 'filterType': 'MARKET_LOT_SIZE', 'maxQty': '1000', 'minQty': '1'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 20, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'multiplierDown': '0.9000', 'multiplierUp': '1.1000', 'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']",0.010000,0.10
DOGEUSD_PERP,DOGEUSD,PERPETUAL,4133404800000,1612162800000,TRADING,10,DOGE,2.5000,5.0000,DOGE,USD,6,0,8,8,4,10000,0.0500,COIN,['Meme'],"[{'minPrice': '0.002000', 'maxPrice': '30', 'filterType': 'PRICE_FILTER', 'tickSize': '0.000010'}, {'stepSize': '1', 'filterType': 'LOT_SIZE', 'maxQty': '1000000', 'minQty': '1'}, {'stepSize': '1', 'filterType': 'MARKET_LOT_SIZE', 'maxQty': '30000', 'minQty': '1'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 20, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'multiplierDown': '0.9500', 'multiplierUp': '1.0500', 'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']",0.017500,0.05
UNIUSD_PERP,UNIUSD,PERPETUAL,4133404800000,1618297200000,TRADING,10,UNI,2.5000,5.0000,UNI,USD,3,0,8,8,4,10000,0.0500,COIN,['DEX'],"[{'minPrice': '0.390', 'maxPrice': '10000', 'filterType': 'PRICE_FILTER', 'tickSize': '0.001'}, {'stepSize': '1', 'filterType': 'LOT_SIZE', 'maxQty': '1000000', 'minQty': '1'}, {'stepSize': '1', 'filterType': 'MARKET_LOT_SIZE', 'maxQty': '5000', 'minQty': '1'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 20, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'multiplierDown': '0.9500', 'multiplierUp': '1.0500', 'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']",0.010000,0.05
THETAUSD_PERP,THETAUSD,PERPETUAL,4133404800000,1618297200000,TRADING,10,THETA,2.5000,5.0000,THETA,USD,3,0,8,8,4,10000,0.0500,COIN,['NFT'],"[{'minPrice': '0.100', 'maxPrice': '10000', 'filterType': 'PRICE_FILTER', 'tickSize': '0.001'}, {'stepSize': '1', 'filterType': 'LOT_SIZE', 'maxQty': '1000000', 'minQty': '1'}, {'stepSize': '1', 'filterType': 'MARKET_LOT_SIZE', 'maxQty': '2500', 'minQty': '1'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 20, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'multiplierDown': '0.9500', 'multiplierUp': '1.0500', 'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']",0.010000,0.05
XLMUSD_PERP,XLMUSD,PERPETUAL,4133404800000,1618470000000,TRADING,10,XLM,2.5000,5.0000,XLM,USD,5,0,8,8,4,10000,0.0500,COIN,['Layer-2'],"[{'minPrice': '0.00700', 'maxPrice': '100', 'filterType': 'PRICE_FILTER', 'tickSize': '0.00001'}, {'stepSize': '1', 'filterType': 'LOT_SIZE', 'maxQty': '1000000', 'minQty': '1'}, {'stepSize': '1', 'filterType': 'MARKET_LOT_SIZE', 'maxQty': '5000', 'minQty': '1'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 20, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'multiplierDown': '0.9500', 'multiplierUp': '1.0500', 'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']",0.010000,0.05
SOLUSD_PERP,SOLUSD,PERPETUAL,4133404800000,1630479600000,TRADING,10,SOL,2.5000,5.0000,SOL,USD,3,0,8,8,4,10000,0.0500,COIN,['Layer-1'],"[{'minPrice': '0.300', 'maxPrice': '10000', 'filterType': 'PRICE_FILTER', 'tickSize': '0.001'}, {'stepSize': '1', 'filterType': 'LOT_SIZE', 'maxQty': '100000', 'minQty': '1'}, {'stepSize': '1', 'filterType': 'MARKET_LOT_SIZE', 'maxQty': '5000', 'minQty': '1'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 20, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'multiplierDown': '0.9500', 'multiplierUp': '1.0500', 'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']",0.025000,0.05
FTMUSD_PERP,FTMUSD,PERPETUAL,4133404800000,1635922800000,TRADING,10,FTM,2.5000,5.0000,FTM,USD,4,0,8,8,4,10000,0.0500,COIN,['Layer-1'],"[{'minPrice': '0.0001', 'maxPrice': '100', 'filterType': 'PRICE_FILTER', 'tickSize': '0.0001'}, {'stepSize': '1', 'filterType': 'LOT_SIZE', 'maxQty': '100000', 'minQty': '1'}, {'stepSize': '1', 'filterType': 'MARKET_LOT_SIZE', 'maxQty': '5000', 'minQty': '1'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 20, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'multiplierDown': '0.9500', 'multiplierUp': '1.0500', 'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']",0.010000,0.05
SANDUSD_PERP,SANDUSD,PERPETUAL,4133404800000,1636441200000,TRADING,10,SAND,2.5000,5.0000,SAND,USD,4,0,8,8,4,10000,0.0500,COIN,['Metaverse'],"[{'minPrice': '0.0001', 'maxPrice': '100', 'filterType': 'PRICE_FILTER', 'tickSize': '0.0001'}, {'stepSize': '1', 'filterType': 'LOT_SIZE', 'maxQty': '100000', 'minQty': '1'}, {'stepSize': '1', 'filterType': 'MARKET_LOT_SIZE', 'maxQty': '5000', 'minQty': '1'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 20, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'multiplierDown': '0.9500', 'multiplierUp': '1.0500', 'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']",0.010000,0.05
MANAUSD_PERP,MANAUSD,PERPETUAL,4133404800000,1637046000000,TRADING,10,MANA,2.5000,5.0000,MANA,USD,4,0,8,8,4,10000,0.0500,COIN,['Metaverse'],"[{'minPrice': '0.0001', 'maxPrice': '100', 'filterType': 'PRICE_FILTER', 'tickSize': '0.0001'}, {'stepSize': '1', 'filterType': 'LOT_SIZE', 'maxQty': '100000', 'minQty': '1'}, {'stepSize': '1', 'filterType': 'MARKET_LOT_SIZE', 'maxQty': '5000', 'minQty': '1'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 20, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'multiplierDown': '0.9500', 'multiplierUp': '1.0500', 'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']",0.010000,0.05
AVAXUSD_PERP,AVAXUSD,PERPETUAL,4133404800000,1637650800000,TRADING,10,AVAX,2.5000,5.0000,AVAX,USD,2,0,8,8,4,10000,0.0500,COIN,['Layer-1'],"[{'minPrice': '0.01', 'maxPrice': '100000', 'filterType': 'PRICE_FILTER', 'tickSize': '0.01'}, {'stepSize': '1', 'filterType': 'LOT_SIZE', 'maxQty': '10000', 'minQty': '1'}, {'stepSize': '1', 'filterType': 'MARKET_LOT_SIZE', 'maxQty': '10000', 'minQty': '1'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 20, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'multiplierDown': '0.9500', 'multiplierUp': '1.0500', 'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']",0.010000,0.05
