symbol,pair,contractType,deliveryDate,onboardDate,status,maintMarginPercent,requiredMarginPercent,baseAsset,quoteAsset,marginAsset,pricePrecision,quantityPrecision,baseAssetPrecision,quotePrecision,underlyingType,underlyingSubType,settlePlan,triggerProtect,liquidationFee,marketTakeBound,maxMoveOrderLimit,filters,orderTypes,timeInForce
IOSTUSDT,IOSTUSDT,PERPETUAL,4133404800000,1569398400000,TRADING,2.5000,5.0000,IOST,USDT,USDT,6,0,8,8,COIN,['Layer-1'],0,0.1000,0.012500,0.10,10000,"[{'maxPrice': '2000.000000', 'filterType': 'PRICE_FILTER', 'minPrice': '0.000587', 'tickSize': '0.000001'}, {'maxQty': '10000000', 'stepSize': '1', 'minQty': '1', 'filterType': 'LOT_SIZE'}, {'stepSize': '1', 'minQty': '1', 'maxQty': '5000000', 'filterType': 'MARKET_LOT_SIZE'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 10, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'filterType': 'MIN_NOTIONAL', 'notional': '5'}, {'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE', 'multiplierDown': '0.9000', 'multiplierUp': '1.1000'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']"
API3USDT,API3USDT,PERPETUAL,4133404800000,1645426800000,TRADING,2.5000,5.0000,API3,USDT,USDT,4,1,8,8,COIN,['Infrastructure'],0,0.1000,0.015000,0.10,10000,"[{'minPrice': '0.0010', 'maxPrice': '10000.0000', 'tickSize': '0.0010', 'filterType': 'PRICE_FILTER'}, {'maxQty': '1000000.0', 'minQty': '0.1', 'stepSize': '0.1', 'filterType': 'LOT_SIZE'}, {'minQty': '0.1', 'filterType': 'MARKET_LOT_SIZE', 'maxQty': '100000.0', 'stepSize': '0.1'}, {'filterType': 'MAX_NUM_ORDERS', 'limit': 200}, {'limit': 10, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'filterType': 'MIN_NOTIONAL', 'notional': '5'}, {'filterType': 'PERCENT_PRICE', 'multiplierUp': '1.1000', 'multiplierDown': '0.9000', 'multiplierDecimal': '4'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']"
APEBUSD,APEBUSD,PERPETUAL,1684227600000,1652684400000,SETTLING,2.5000,5.0000,APE,BUSD,BUSD,7,1,8,8,COIN,['BUSD'],0,0.1000,0.015000,0.10,10000,"[{'filterType': 'PRICE_FILTER', 'minPrice': '0.0010000', 'tickSize': '0.0010000', 'maxPrice': '200.0000000'}, {'stepSize': '0.1', 'minQty': '0.1', 'filterType': 'LOT_SIZE', 'maxQty': '1000000.0'}, {'minQty': '0.1', 'filterType': 'MARKET_LOT_SIZE', 'stepSize': '0.1', 'maxQty': '8000.0'}, {'filterType': 'MAX_NUM_ORDERS', 'limit': 200}, {'filterType': 'MAX_NUM_ALGO_ORDERS', 'limit': 10}, {'filterType': 'MIN_NOTIONAL', 'notional': '5'}, {'filterType': 'PERCENT_PRICE', 'multiplierDown': '0.9000', 'multiplierUp': '1.1000', 'multiplierDecimal': '4'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']"
CHRUSDT,CHRUSDT,PERPETUAL,4133404800000,1615532400000,TRADING,2.5000,5.0000,CHR,USDT,USDT,4,0,8,8,COIN,['Layer-2'],0,0.1000,0.010000,0.10,10000,"[{'minPrice': '0.0031', 'tickSize': '0.0001', 'maxPrice': '100000.0000', 'filterType': 'PRICE_FILTER'}, {'filterType': 'LOT_SIZE', 'minQty': '1', 'stepSize': '1', 'maxQty': '1000000'}, {'maxQty': '250000', 'minQty': '1', 'filterType': 'MARKET_LOT_SIZE', 'stepSize': '1'}, {'filterType': 'MAX_NUM_ORDERS', 'limit': 200}, {'filterType': 'MAX_NUM_ALGO_ORDERS', 'limit': 10}, {'filterType': 'MIN_NOTIONAL', 'notional': '5'}, {'multiplierUp': '1.1000', 'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE', 'multiplierDown': '0.9000'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']"
MTLUSDT,MTLUSDT,PERPETUAL,4133404800000,1617174000000,TRADING,2.5000,5.0000,MTL,USDT,USDT,4,0,8,8,COIN,['Infrastructure'],0,0.1000,0.020000,0.10,10000,"[{'filterType': 'PRICE_FILTER', 'maxPrice': '100000.0000', 'minPrice': '0.0390', 'tickSize': '0.0001'}, {'minQty': '1', 'filterType': 'LOT_SIZE', 'maxQty': '1000000', 'stepSize': '1'}, {'maxQty': '100000', 'filterType': 'MARKET_LOT_SIZE', 'minQty': '1', 'stepSize': '1'}, {'filterType': 'MAX_NUM_ORDERS', 'limit': 200}, {'filterType': 'MAX_NUM_ALGO_ORDERS', 'limit': 10}, {'notional': '5', 'filterType': 'MIN_NOTIONAL'}, {'filterType': 'PERCENT_PRICE', 'multiplierDown': '0.9000', 'multiplierUp': '1.1000', 'multiplierDecimal': '4'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']"
ATOMUSDT,ATOMUSDT,PERPETUAL,4133404800000,1569398400000,TRADING,2.5000,5.0000,ATOM,USDT,USDT,3,2,8,8,COIN,['Layer-1'],0,0.1000,0.017500,0.10,10000,"[{'minPrice': '0.251', 'maxPrice': '100000.000', 'tickSize': '0.001', 'filterType': 'PRICE_FILTER'}, {'minQty': '0.01', 'filterType': 'LOT_SIZE', 'maxQty': '100000.00', 'stepSize': '0.01'}, {'maxQty': '20000.00', 'minQty': '0.01', 'filterType': 'MARKET_LOT_SIZE', 'stepSize': '0.01'}, {'filterType': 'MAX_NUM_ORDERS', 'limit': 200}, {'limit': 10, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'notional': '5', 'filterType': 'MIN_NOTIONAL'}, {'multiplierUp': '1.1000', 'filterType': 'PERCENT_PRICE', 'multiplierDown': '0.9000', 'multiplierDecimal': '4'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']"
ETHBTC,ETHBTC,PERPETUAL,4133404800000,1684972800000,TRADING,2.5000,5.0000,ETH,BTC,BTC,6,2,8,8,COIN,['Cross Pair'],0,0.1000,0.010000,0.10,10000,"[{'filterType': 'PRICE_FILTER', 'maxPrice': '200.000000', 'tickSize': '0.000010', 'minPrice': '0.000010'}, {'maxQty': '10000.00', 'stepSize': '0.01', 'filterType': 'LOT_SIZE', 'minQty': '0.01'}, {'maxQty': '5.00', 'stepSize': '0.01', 'filterType': 'MARKET_LOT_SIZE', 'minQty': '0.01'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 10, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'notional': '0.001', 'filterType': 'MIN_NOTIONAL'}, {'multiplierUp': '1.1000', 'filterType': 'PERCENT_PRICE', 'multiplierDown': '0.9000', 'multiplierDecimal': '4'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']"
1000XECUSDT,1000XECUSDT,PERPETUAL,4133404800000,1631775600000,TRADING,2.5000,5.0000,1000XEC,USDT,USDT,5,0,8,8,COIN,['Payment'],0,0.1500,0.010000,0.15,10000,"[{'tickSize': '0.00001', 'filterType': 'PRICE_FILTER', 'minPrice': '0.00050', 'maxPrice': '20000.00000'}, {'maxQty': '50000000', 'minQty': '1', 'stepSize': '1', 'filterType': 'LOT_SIZE'}, {'maxQty': '5000000', 'filterType': 'MARKET_LOT_SIZE', 'minQty': '1', 'stepSize': '1'}, {'filterType': 'MAX_NUM_ORDERS', 'limit': 200}, {'limit': 10, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'filterType': 'MIN_NOTIONAL', 'notional': '5'}, {'filterType': 'PERCENT_PRICE', 'multiplierDown': '0.8500', 'multiplierUp': '1.1500', 'multiplierDecimal': '4'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']"
TRXUSDT,TRXUSDT,PERPETUAL,4133404800000,1569398400000,TRADING,2.5000,5.0000,TRX,USDT,USDT,5,0,8,8,COIN,['Layer-1'],0,0.0500,0.010000,0.05,10000,"[{'tickSize': '0.00001', 'minPrice': '0.00132', 'maxPrice': '20000.00000', 'filterType': 'PRICE_FILTER'}, {'filterType': 'LOT_SIZE', 'maxQty': '10000000', 'minQty': '1', 'stepSize': '1'}, {'maxQty': '5000000', 'filterType': 'MARKET_LOT_SIZE', 'stepSize': '1', 'minQty': '1'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'filterType': 'MAX_NUM_ALGO_ORDERS', 'limit': 10}, {'filterType': 'MIN_NOTIONAL', 'notional': '5'}, {'multiplierDecimal': '4', 'multiplierUp': '1.0500', 'multiplierDown': '0.9500', 'filterType': 'PERCENT_PRICE'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']"
RADUSDT,RADUSDT,PERPETUAL,4133404800000,1683590400000,TRADING,2.5000,5.0000,RAD,USDT,USDT,6,0,8,8,COIN,['DeFi'],0,0.1500,0.015000,0.15,10000,"[{'filterType': 'PRICE_FILTER', 'tickSize': '0.001000', 'maxPrice': '2000.000000', 'minPrice': '0.001000'}, {'maxQty': '10000000', 'stepSize': '1', 'filterType': 'LOT_SIZE', 'minQty': '1'}, {'minQty': '1', 'maxQty': '30000', 'stepSize': '1', 'filterType': 'MARKET_LOT_SIZE'}, {'filterType': 'MAX_NUM_ORDERS', 'limit': 200}, {'filterType': 'MAX_NUM_ALGO_ORDERS', 'limit': 10}, {'notional': '5', 'filterType': 'MIN_NOTIONAL'}, {'multiplierUp': '1.1500', 'multiplierDown': '0.8500', 'filterType': 'PERCENT_PRICE', 'multiplierDecimal': '4'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']"
UNIBUSD,UNIBUSD,PERPETUAL,1681203600000,1659596400000,SETTLING,2.5000,5.0000,UNI,BUSD,BUSD,6,1,8,8,COIN,['BUSD'],0,0.0500,0.015000,0.05,10000,"[{'minPrice': '0.001000', 'maxPrice': '100000.000000', 'tickSize': '0.001000', 'filterType': 'PRICE_FILTER'}, {'maxQty': '1000000.0', 'stepSize': '0.1', 'filterType': 'LOT_SIZE', 'minQty': '0.1'}, {'minQty': '0.1', 'filterType': 'MARKET_LOT_SIZE', 'maxQty': '6000.0', 'stepSize': '0.1'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'filterType': 'MAX_NUM_ALGO_ORDERS', 'limit': 10}, {'notional': '5', 'filterType': 'MIN_NOTIONAL'}, {'filterType': 'PERCENT_PRICE', 'multiplierUp': '1.0500', 'multiplierDown': '0.9500', 'multiplierDecimal': '4'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']"
AXSUSDT,AXSUSDT,PERPETUAL,4133404800000,1569398400000,TRADING,2.5000,5.0000,AXS,USDT,USDT,5,0,8,8,COIN,['Metaverse'],0,0.1000,0.020000,0.10,10000,"[{'tickSize': '0.00100', 'minPrice': '0.08000', 'filterType': 'PRICE_FILTER', 'maxPrice': '6989.00000'}, {'maxQty': '10000000', 'minQty': '1', 'stepSize': '1', 'filterType': 'LOT_SIZE'}, {'filterType': 'MARKET_LOT_SIZE', 'minQty': '1', 'stepSize': '1', 'maxQty': '8000'}, {'filterType': 'MAX_NUM_ORDERS', 'limit': 200}, {'filterType': 'MAX_NUM_ALGO_ORDERS', 'limit': 10}, {'filterType': 'MIN_NOTIONAL', 'notional': '5'}, {'multiplierDown': '0.9000', 'filterType': 'PERCENT_PRICE', 'multiplierDecimal': '4', 'multiplierUp': '1.1000'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']"
AAVEUSDT,AAVEUSDT,PERPETUAL,4133404800000,1569398400000,TRADING,2.5000,5.0000,AAVE,USDT,USDT,3,1,8,8,COIN,['DeFi'],0,0.1000,0.015000,0.10,10000,"[{'maxPrice': '38702.000', 'minPrice': '4.340', 'filterType': 'PRICE_FILTER', 'tickSize': '0.010'}, {'filterType': 'LOT_SIZE', 'minQty': '0.1', 'maxQty': '1000000.0', 'stepSize': '0.1'}, {'filterType': 'MARKET_LOT_SIZE', 'maxQty': '1250.0', 'minQty': '0.1', 'stepSize': '0.1'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 10, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'notional': '5', 'filterType': 'MIN_NOTIONAL'}, {'multiplierUp': '1.1000', 'multiplierDown': '0.9000', 'filterType': 'PERCENT_PRICE', 'multiplierDecimal': '4'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']"
ACHUSDT,ACHUSDT,PERPETUAL,4133404800000,1676962800000,TRADING,2.5000,5.0000,ACH,USDT,USDT,7,0,8,8,COIN,['Payment'],0,0.1500,0.015000,0.15,10000,"[{'minPrice': '0.0000100', 'maxPrice': '200.0000000', 'filterType': 'PRICE_FILTER', 'tickSize': '0.0000100'}, {'maxQty': '10000000', 'stepSize': '1', 'filterType': 'LOT_SIZE', 'minQty': '1'}, {'filterType': 'MARKET_LOT_SIZE', 'maxQty': '1000000', 'minQty': '1', 'stepSize': '1'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'filterType': 'MAX_NUM_ALGO_ORDERS', 'limit': 10}, {'notional': '5', 'filterType': 'MIN_NOTIONAL'}, {'multiplierUp': '1.1500', 'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE', 'multiplierDown': '0.8500'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']"
